[INIT] Bridge connectat. Preu: 83.0005 | Caixa: 86411.8
[2026-03-01 23:09:31] STATUS -> Preu: 83.7228 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:10:01] STATUS -> Preu: 83.9078 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:10:32] STATUS -> Preu: 83.8974 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:11:03] STATUS -> Preu: 83.9473 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:11:34] STATUS -> Preu: 83.868 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:12:05] STATUS -> Preu: 83.868 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:12:36] STATUS -> Preu: 83.7168 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:13:07] STATUS -> Preu: 83.7765 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:13:37] STATUS -> Preu: 83.6865 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:14:08] STATUS -> Preu: 83.6757 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:14:39] STATUS -> Preu: 83.6823 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:15:10] STATUS -> Preu: 83.715 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:15:41] STATUS -> Preu: 83.5435 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:16:12] STATUS -> Preu: 83.635 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:16:43] STATUS -> Preu: 83.5475 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:17:13] STATUS -> Preu: 83.5475 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:17:44] STATUS -> Preu: 83.524 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:18:15] STATUS -> Preu: 83.605 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:18:46] STATUS -> Preu: 83.6385 | Caixa: 9727.91 | SOL: 926.749
[2026-03-01 23:19:17] STATUS -> Preu: 83.612 | Caixa: 9727.91 | SOL: 926.749
